"3","Clinton","how are you donald","9/26/16"
"8","Clinton","well thank you lester and thank to hofstra for host us the central question in thi elect is realli what kind of countri we want to be and what kind of futur we ll build togeth today is my granddaught s second birthday so I think about thi a lot first we have to build an economi that work for everyon not just those at the top that mean we need new job good job with rise incom I want us to invest in you I want us to invest in your futur that mean job in infrastructur in advanc manufactur innov and technolog clean renew energi and small busi becaus most of the new job will come from small busi We also have to make the economi fairer that start with rais the nation minimum wage and also guarante final equal pay for women s work","9/26/16"
"9","Clinton","I also want to see more compani do profit-shar If you help creat the profit you should be abl to share in them not just the execut at the top and I want us to do more to support peopl who are struggl to balanc famili and work I ve heard from so mani of you about the difficult choic you face and the stress that you re under So let s have paid famili leav earn sick day let s be sure we have afford child care and debt-fre colleg how are we go to do it We re go to do it by have the wealthi pay their fair share and close the corpor loophol final we tonight are on the stage togeth donald trump and I donald it s good to be with you We re go to have a debat where we are talk about the import issu face our countri you have to judg us who can shoulder the immens awesom respons of the presid who can put into action the plan that will make your life better I hope that I will be abl to earn your vote on novemb 8th","9/26/16"
"11","Trump","thank you lester our job are flee the countri they re go to mexico they re go to mani other countri you look at what china is do to our countri in term of make our product they re devalu their currenc and there s nobodi in our govern to fight them and we have a veri good fight and we have a win fight becaus they re use our countri as a piggi bank to rebuild china and mani other countri are do the same thing So we re lose our good job so mani of them when you look at what s happen in mexico a friend of mine who build plant said it s the eighth wonder of the world they re build some of the biggest plant anywher in the world some of the most sophist some of the best plant with the unit state as he said not so much So ford is leav you see that their small car divis leav thousand of job leav michigan leav ohio they re all leav and we can t allow it to happen anymor As far as child care is concern and so mani other thing I think hillari and I agre on that We probabl disagre a littl bit as to number and amount and what we re go to do but perhap we ll be talk about that later but we have to stop our job from be stolen from us We have to stop our compani from leav the unit state and with it fire all of their peopl all you have to do is take a look at carrier air condit in indianapoli they left -- fire 1 400 peopl they re go to mexico So mani hundr and hundr of compani are do thi","9/26/16"
"12","Trump","We cannot let it happen under my plan I ll be reduc tax tremend from 35 percent to 15 percent for compani small and big busi that s go to be a job creator like we haven t seen sinc ronald reagan It s go to be a beauti thing to watch compani will come they will build they will expand new compani will start and I look veri veri much forward to do it We have to renegoti our trade deal and we have to stop these countri from steal our compani and our job","9/26/16"
"14","Clinton","well I think that trade is an import issu Of cours we are 5 percent of the world s popul we have to trade with the other 95 percent and we need to have smart fair trade deal We also though need to have a tax system that reward work and not just financi transact and the kind of plan that donald ha put forth would be trickle-down econom all over again In fact it would be the most extrem version the biggest tax cut for the top percent of the peopl in thi countri than we ve ever had I call it trumped-up trickle-down becaus that s exactli what it would be that is not how we grow the economi We just have a differ view about what s best for grow the economi how we make invest that will actual produc job and rise incom I think we come at it from somewhat differ perspect I understand that you know donald wa veri fortun in hi life and that s all to hi benefit He start hi busi with 14 million borrow from hi father and he realli believ that the more you help wealthi peopl the better off we ll be and that everyth will work out from there I don t buy that I have a differ experi My father wa a small-businessman He work realli hard He print draperi fabric on long tabl where he pull out those fabric and he went down with a silkscreen and dump the paint in and took the squeege and kept go and so what I believ is the more we can do for the middl class the more we can invest in you your educ your skill your futur the better we will be off and the better we ll grow that s the kind of economi I want us to see again","9/26/16"
"16","Trump","well for one thing -- and befor we start on that -- my father gave me a veri small loan in 1975 and I built it into a compani that s worth mani mani billion of dollar with some of the greatest asset in the world and I say that onli becaus that s the kind of think that our countri need our countri s in deep troubl We don t know what we re do when it come to devalu and all of these countri all over the world especi china they re the best the best ever at it what they re do to us is a veri veri sad thing So we have to do that We have to renegoti our trade deal and lester they re take our job they re give incent they re do thing that frankli we don t do let me give you the exampl of mexico they have a vat tax We re on a differ system when we sell into mexico there s a tax when they sell in -- automat 16 percent approxim when they sell into us there s no tax It s a defect agreement It s been defect for a long time mani year but the politician haven t done anyth about it now in all fair to secretari clinton -- ye is that OK good I want you to be veri happi It s veri import to me but in all fair to secretari clinton when she start talk about thi it wa realli veri recent she s been do thi for 30 year and whi hasn t she made the agreement better the nafta agreement is defect just becaus of the tax and mani other reason but just becaus of the fact","9/26/16"
"18","Trump","secretari clinton and other politician should have been do thi for year not right now becaus of the fact that we ve creat a movement they should have been do thi for year what s happen to our job and our countri and our economi gener is -- look we owe 20 trillion We cannot do it ani longer lester","9/26/16"
"20","Trump","well the first thing you do is don t let the job leav the compani are leav I could name I mean there are thousand of them they re leav and they re leav in bigger number than ever and what you do is you say fine you want to go to mexico or some other countri good luck We wish you a lot of luck but if you think you re go to make your air condition or your car or your cooki or whatev you make and bring them into our countri without a tax you re wrong and onc you say you re go to have to tax them come in and our politician never do thi becaus they have special interest and the special interest want those compani to leav becaus in mani case they own the compani So what I m say is we can stop them from leav We have to stop them from leav and that s a big big factor","9/26/16"
"22","Clinton","well let s stop for a second and rememb where we were eight year ago We had the worst financi crisi the great recess the worst sinc the 1930 that wa in larg part becaus of tax polici that slash tax on the wealthi fail to invest in the middl class took their eye off of wall street and creat a perfect storm In fact donald wa one of the peopl who root for the hous crisi He said back in 2006 gee I hope it doe collaps becaus then I can go in and buy some and make some money well it did collaps","9/26/16"
